Mod:Item:MetaData, Localized Name
Mekanism:SlickPlasticBlock:11, §e黄色 光滑塑料方块
Mekanism:SlickPlasticBlock:12, §9淡蓝色 光滑塑料方块
Mekanism:SlickPlasticBlock:13, §d品红色 光滑塑料方块
Mekanism:SlickPlasticBlock:14, §6橙色 光滑塑料方块
Mekanism:SlickPlasticBlock:15, §f白色 光滑塑料方块
Mekanism:GlowPlasticBlock:0, §8黑色 塑料荧光方块
Mekanism:GlowPlasticBlock:1, §c红色 塑料荧光方块
Mekanism:GlowPlasticBlock:2, §2绿色 塑料荧光方块
Mekanism:GlowPlasticBlock:3, §6棕色 塑料荧光方块
Mekanism:GlowPlasticBlock:4, §1蓝色 塑料荧光方块
Mekanism:GlowPlasticBlock:5, §5紫色 塑料荧光方块
Mekanism:GlowPlasticBlock:6, §3青色 塑料荧光方块
Mekanism:GlowPlasticBlock:7, §7淡灰色 塑料荧光方块
Mekanism:GlowPlasticBlock:8, §8灰色 塑料荧光方块
Mekanism:GlowPlasticBlock:9, §d粉色 塑料荧光方块
Mekanism:GlowPlasticBlock:10, §a亮绿色 塑料荧光方块
Mekanism:GlowPlasticBlock:11, §e黄色 塑料荧光方块
Mekanism:GlowPlasticBlock:12, §9淡蓝色 塑料荧光方块
Mekanism:GlowPlasticBlock:13, §d品红色 塑料荧光方块
Mekanism:GlowPlasticBlock:14, §6橙色 塑料荧光方块
Mekanism:GlowPlasticBlock:15, §f白色 塑料荧光方块
Mekanism:ReinforcedPlasticBlock:0, §8黑色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:1, §c红色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:2, §2绿色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:3, §6棕色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:4, §1蓝色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:5, §5紫色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:6, §3青色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:7, §7淡灰色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:8, §8灰色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:9, §d粉色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:10, §a亮绿色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:11, §e黄色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:12, §9淡蓝色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:13, §d品红色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:14, §6橙色 强化塑料方块
Mekanism:ReinforcedPlasticBlock:15, §f白色 强化塑料方块
Mekanism:RoadPlasticBlock:0, §8黑色 塑料路
Mekanism:RoadPlasticBlock:1, §c红色 塑料路
Mekanism:RoadPlasticBlock:2, §2绿色 塑料路
Mekanism:RoadPlasticBlock:3, §6棕色 塑料路
Mekanism:RoadPlasticBlock:4, §1蓝色 塑料路
Mekanism:RoadPlasticBlock:5, §5紫色 塑料路
Mekanism:RoadPlasticBlock:6, §3青色 塑料路
Mekanism:RoadPlasticBlock:7, §7淡灰色 塑料路
Mekanism:RoadPlasticBlock:8, §8灰色 塑料路
Mekanism:RoadPlasticBlock:9, §d粉色 塑料路
Mekanism:RoadPlasticBlock:10, §a亮绿色 塑料路
Mekanism:RoadPlasticBlock:11, §e黄色 塑料路
Mekanism:RoadPlasticBlock:12, §9淡蓝色 塑料路
Mekanism:RoadPlasticBlock:13, §d品红色 塑料路
Mekanism:RoadPlasticBlock:14, §6橙色 塑料路
Mekanism:RoadPlasticBlock:15, §f白色 塑料路
Mekanism:PlasticFence:0, §8黑色 塑料栅栏
Mekanism:PlasticFence:1, §c红色 塑料栅栏
Mekanism:PlasticFence:2, §2绿色 塑料栅栏
Mekanism:PlasticFence:3, §6棕色 塑料栅栏
Mekanism:PlasticFence:4, §1蓝色 塑料栅栏
Mekanism:PlasticFence:5, §5紫色 塑料栅栏
Mekanism:PlasticFence:6, §3青色 塑料栅栏
Mekanism:PlasticFence:7, §7淡灰色 塑料栅栏
Mekanism:PlasticFence:8, §8灰色 塑料栅栏
Mekanism:PlasticFence:9, §d粉色 塑料栅栏
Mekanism:PlasticFence:10, §a亮绿色 塑料栅栏
Mekanism:PlasticFence:11, §e黄色 塑料栅栏
Mekanism:PlasticFence:12, §9淡蓝色 塑料栅栏
Mekanism:PlasticFence:13, §d品红色 塑料栅栏
Mekanism:PlasticFence:14, §6橙色 塑料栅栏
Mekanism:PlasticFence:15, §f白色 塑料栅栏
Mekanism:SaltBlock, 盐块
MekanismGenerators:Generator:0, 热力发电机
MekanismGenerators:Generator:1, 太阳能发电机
MekanismGenerators:Generator:3, 燃气发电机
MekanismGenerators:Generator:4, 生物能发电机
MekanismGenerators:Generator:5, 高级太阳能发电机
MekanismGenerators:Generator:6, Wind Generator
MekanismGenerators:Generator:7, 涡轮转子
MekanismGenerators:Generator:8, 复杂旋钮装置
MekanismGenerators:Generator:9, 电磁线圈
MekanismGenerators:Generator:10, 涡轮外壳
MekanismGenerators:Generator:11, 涡轮阀门
MekanismGenerators:Generator:12, 涡轮排气口
MekanismGenerators:Generator:13, Saturating Condenser
MekanismGenerators:Reactor:0, 反应控制器
MekanismGenerators:Reactor:1, 反应堆框架
MekanismGenerators:Reactor:3, 反应堆端口
MekanismGenerators:Reactor:4, 反应逻辑适配器
MekanismGenerators:ReactorGlass:0, 强化玻璃
MekanismGenerators:ReactorGlass:1, 激光聚焦矩阵
BambooMod:bamboo, 竹
BambooMod:bamboosingle, tile.bamboosingle.name
BambooMod:bamboo2, Bamboo
BambooMod:blockbambooshoot, 竹笋
BambooMod:singleTexDeco:0, 竹方块
BambooMod:kitunebi, 狐火
BambooMod:jpChest, 日式衣柜
BambooMod:dirSquare:0, 叠席
BambooMod:dirSquare:4, 茅草方块
BambooMod:dirSquare:8, 叠席(泛黄)
BambooMod:dirSquare:10, 没有边缘的叠席(泛黄)
BambooMod:dirSquare:12, 没有边缘的叠席
BambooMod:halfDirSquare:0, 叠席台阶
BambooMod:halfDirSquare:4, 茅草台阶
BambooMod:halfDirSquare:8, 叠席台阶(泛黄)
BambooMod:halfDirSquare:10, 没有边缘的叠席台阶(泛黄)
BambooMod:halfDirSquare:12, 没有边缘的叠席台阶
BambooMod:andon, 灯笼
BambooMod:bambooPanel:0, 竹篱笆
BambooMod:bambooPanel:1, 楣窗
BambooMod:bambooPanel:2, 竹篱笆
BambooMod:bambooPanel:3, 竹篱笆
BambooMod:bambooPanel:4, 门帘(蓝)
BambooMod:bambooPanel:5, 门帘(紫)
BambooMod:bambooPanel:6, 竹帘
BambooMod:sakuraLeaves:0, 樱花
BambooMod:sakuraLeaves:1, 樱花
BambooMod:sakuraLeaves:2, 樱花
BambooMod:sakuraLeaves:3, 樱花
BambooMod:sakuraLeaves:4, 樱花
BambooMod:sakuraLeaves:5, 樱花
BambooMod:sakuraLeaves:6, 樱花
BambooMod:sakuraLeaves:7, 樱花
BambooMod:sakuraLeaves:8, 樱花
BambooMod:sakuraLeaves:9, 樱花
BambooMod:sakuraLeaves:10, 樱花
BambooMod:sakuraLeaves:11, 樱花
BambooMod:sakuraLeaves:12, 樱花
BambooMod:sakuraLeaves:13, 樱花
BambooMod:sakuraLeaves:14, 樱花
BambooMod:sakuraLeaves:15, 樱花
BambooMod:sakuraSapling, 樱树苗 
BambooMod:kayabukiRoof, 茅草楼梯
BambooMod:spaWater, 温泉水
BambooMod:spaUnit, 温泉器 
BambooMod:sakuraLog, 樱木
BambooMod:delude_width, 模仿台阶
BambooMod:delude_height, 模仿台阶垂直
BambooMod:delude_stair, 模仿楼梯
BambooMod:campfire, 营火
BambooMod:deco:0, 灰泥
BambooMod:deco:1, 菱纹墙
BambooMod:deco:2, 方格花纹(橡)
BambooMod:deco:3, 方格花纹(松)
BambooMod:deco:4, 方格花纹(白桦)
BambooMod:deco:5, 瓦方块
BambooMod:halfDeco:0, 灰泥台阶
BambooMod:halfDeco:1, 菱纹墙台阶
BambooMod:halfDeco:2, 方格花纹台阶(橡)
BambooMod:halfDeco:3, 方格花纹台阶(松)
BambooMod:halfDeco:4, 方格花纹台阶(白桦)
BambooMod:halfDeco:5, 瓦台阶
BambooMod:twoDirDeco:0, 百叶窗板
BambooMod:twoDirDeco:2, 樱木板
BambooMod:twoDirDeco:4, 秸秆方块
BambooMod:halfTwoDirDeco:0, 瓦楼梯
BambooMod:halfTwoDirDeco:2, 樱木台阶
BambooMod:halfTwoDirDeco:4, 秸秆台阶
BambooMod:kawara_stair, 瓦楼梯
BambooMod:wara_stair, 秸秆楼梯
BambooMod:decoCarpet:0, 草席
BambooMod:decoCarpet:2, 茅草地毯
BambooMod:decoCarpet:4, 草席(泛黄)
BambooMod:decoCarpet:6, 没有边缘的草席(泛黄)
BambooMod:decoCarpet:8, 没有边缘的草席
BambooMod:thickSakuraPillar, 樱木支柱(粗)
BambooMod:thinSakuraPillar, 樱木支柱(细)
BambooMod:thickOrcPillar, 橡木支柱(粗)
BambooMod:thinOrcPillar, 橡木支柱(细)
BambooMod:thickSprucePillar, 松支柱(粗)
BambooMod:thinSprucePillar, 松支柱(细)
BambooMod:thickBirchPillar, 白桦支柱(粗)
BambooMod:thinBirchPillar, 白桦支柱(细)
BambooMod:delude_plate, 模仿压力板
BambooMod:ricePlant, RicePlant
BambooMod:bambooMillStone, 石磨
BambooMod:bambooMoss, 藓苔方块
BambooMod:bambooMultiPot, 小花盆
BambooMod:blobkbroom:0, 帚目(直线)
BambooMod:blobkbroom:1, 帚目(曲线)
BambooMod:bamboohuton, tile.bamboohuton.name
BambooMod:bamboomultiblock:2, 缩小范围2x
BambooMod:bamboomultiblock:3, 缩小范围3x
BambooMod:bamboomultiblock:4, 缩小范围4x
BambooMod:bamboomultiblock:5, 缩小范围5x
BambooMod:alphamultiblock:2, MiniBlock(Alpha)2x
BambooMod:alphamultiblock:3, MiniBlock(Alpha)3x
BambooMod:alphamultiblock:4, MiniBlock(Alpha)4x
BambooMod:alphamultiblock:5, MiniBlock(Alpha)5x
BambooMod:sakuracarpet:0, SakuraCarpet
BambooMod:sakuracarpet:1, SakuraCarpet
BambooMod:sakuracarpet:2, SakuraCarpet
BambooMod:decoPlaster:0, DecoPlaster(I)
BambooMod:decoCurvePlaster:0, DecoPlaster(L)
BambooMod:decoDCurvePlaster:0, DecoPlaster(D)
BambooMod:seaweed, SeaWeed
BambooMod:beanPlant, BeanPlant
BambooMod:tomatoPlant, TomatoPlant
BambooMod:villagerBlock, VillagerBlock
BambooMod:crossLamp:0, Bonfire
BambooMod:crossLamp:1, Lampstand
BambooMod:bambooLiangThick:0, 梁
BambooMod:bambooLiangVLogThick:0, 梁
BambooMod:bambooLiangVLogThick:1, 梁
BambooMod:bambooLiangVLogThick:2, 梁
BambooMod:bambooLiangVLogThick:3, 梁
BambooMod:bambooLiangVLog2Thick:0, 梁
BambooMod:bambooLiangVLog2Thick:1, 梁
BambooMod:bambooLiangVWoodThick:0, 梁
BambooMod:bambooLiangVWoodThick:1, 梁
BambooMod:bambooLiangVWoodThick:2, 梁
BambooMod:bambooLiangVWoodThick:3, 梁
BambooMod:bambooLiangVWoodThick:4, 梁
BambooMod:bambooLiangVWoodThick:5, 梁
BambooMod:bambooLiangThin:0, 梁
BambooMod:bambooLiangVLogThin:0, 梁
BambooMod:bambooLiangVLogThin:1, 梁
BambooMod:bambooLiangVLogThin:2, 梁
BambooMod:bambooLiangVLogThin:3, 梁
BambooMod:bambooLiangVLog2Thin:0, 梁
BambooMod:bambooLiangVLog2Thin:1, 梁
BambooMod:bambooLiangVWoodThin:0, 梁
BambooMod:bambooLiangVWoodThin:1, 梁
BambooMod:bambooLiangVWoodThin:2, 梁
BambooMod:bambooLiangVWoodThin:3, 梁
BambooMod:bambooLiangVWoodThin:4, 梁
BambooMod:bambooLiangVWoodThin:5, 梁
BambooMod:maneki, 招财猫
EMT:PortableNode, 便携式节点
EMT:ShieldBlock, 护盾方块
EMT:EMTSolars:0, 压缩太阳能
EMT:EMTSolars:1, 双重压缩太阳能
EMT:EMTSolars:2, 三重压缩太阳能
EMT:EMTSolars:3, 水注魔太阳能(1级)
EMT:EMTSolars:4, 水注魔太阳能(2级)
EMT:EMTSolars:5, 水注魔太阳能(3级)
EMT:EMTSolars:6, 混沌注魔太阳能(1级)
EMT:EMTSolars:7, 混沌注魔太阳能(2级)
EMT:EMTSolars:8, 混沌压缩太阳能(3级)
EMT:EMTSolars:9, 秩序注魔太阳能(1级)
EMT:EMTSolars:10, 秩序注魔太阳能(2级)
EMT:EMTSolars:11, 秩序注魔太阳能(3级)
EMT:EMTSolars:12, 火注魔太阳能(1级)
EMT:EMTSolars:13, 火注魔太阳能(2级)
EMT:EMTSolars:14, 火注魔太阳能(3级)
EMT:EMTSolars:15, 风注魔太阳能(1级)
EMT:EMTSolars2:0, 风注魔太阳能(2级)
EMT:EMTSolars2:1, 风注魔太阳能(3级)
EMT:EMTSolars2:2, 地注魔太阳能(1级)
EMT:EMTSolars2:3, 地注魔太阳能(2级)
EMT:EMTSolars2:4, 地注魔太阳能(3级)
EMT:EMTMachines:0, 工业法杖充能站
EMT:EMTMachines:1, 天域加工机
EMT:EssentiaGenerators:0, 能量源质发电机
EMT:EssentiaGenerators:1, 火之源质发电机
EMT:EssentiaGenerators:2, 灵气源质发电机
EMT:EssentiaGenerators:3, 木之源质发电机
EMT:EssentiaGenerators:4, 风之源质发电机
AdvancedSolarPanel:BlockMolecularTransformer, tile.null.name
AdvancedSolarPanel:BlockAdvSolarPanel:0, 高级太阳能发电机
AdvancedSolarPanel:BlockAdvSolarPanel:1, 混合太阳能发电机
AdvancedSolarPanel:BlockAdvSolarPanel:2, 终极混合太阳能发电机
AdvancedSolarPanel:BlockAdvSolarPanel:3, 量子太阳能发电机
AdvancedSolarPanel:BlockAdvSolarPanel:4, 量子发电机
VisibleRayGenerator:visibleraysolor:0, 可见光发电机 1 EU/t
VisibleRayGenerator:visibleraysolor:1, 可见光发电机 8 EU/t
VisibleRayGenerator:visibleraysolor:2, 可见光发电机 64 EU/t
VisibleRayGenerator:visibleraysolor:3, 可见光发电机 512 EU/t
VisibleRayGenerator:visibleraysolor:4, CE恒久光发电机 2 EU/t
VisibleRayGenerator:visibleraysolor:5, CE恒久光发电机 8 EU/t
VisibleRayGenerator:visibleraysolor:6, CE恒久光发电机 32 EU/t
VisibleRayGenerator:visibleraysolor:7, CE恒久光发电机 128 EU/t
VisibleRayGenerator:visibleraysolor:8, CE恒久光发电机 512 EU/t
VisibleRayGenerator:visibleraysolor:9, CE恒久光发电机 2048 EU/t
VisibleRayGenerator:visibleraysolor:10, CE恒久光发电机 8192 EU/t
VisibleRayGenerator:visibleraysolor:11, CE恒久光发电机 32768 EU/t
VisibleRayGenerator:visibleraysolor:12, CE恒久光发电机 131072 EU/t
VisibleRayGenerator:visibleraysolor:13, CE恒久光发电机 532480 EU/t
supersolarpanel:SingularSolarPanel, 奇异太阳能
supersolarpanel:SpectralSolarPanel, 光谱太阳能
supersolarpanel:AdminSolarPanel, 管理员太阳能
supersolarpanel:PhotonicSolarPanel, 光子太阳能
GraviSuite:BlockRelocatorPortal, tile.null.name
ae2stuff:Encoder, 样板编码台
ae2stuff:Grower, 晶体催生仓
ae2stuff:Inscriber, 高级压印器
ae2stuff:Wireless, 无线接入器 
Botania:flower:0, 白色神秘花
Botania:flower:1, 橙色神秘花
Botania:flower:2, 品红色神秘花
Botania:flower:3, 淡蓝色神秘花
Botania:flower:4, 黄色神秘花
Botania:flower:5, 黄绿色神秘花
Botania:flower:6, 粉色神秘花
Botania:flower:7, 灰色神秘花
Botania:flower:8, 淡灰色神秘花
Botania:flower:9, 青色神秘花
Botania:flower:10, 紫色神秘花
Botania:flower:11, 蓝色神秘花
Botania:flower:12, 棕色神秘花
Botania:flower:13, 绿色神秘花
Botania:flower:14, 红色神秘花
Botania:flower:15, 黑色神秘花
Botania:altar:0, 花药台
Botania:altar:1, 森林花药台
Botania:altar:2, 平原花药台
Botania:altar:3, 高山花药台
Botania:altar:4, 菌丝花药台
Botania:altar:5, 沼泽花药台
Botania:altar:6, 沙漠花药台
Botania:altar:7, 雪原花药台
Botania:altar:8, 高原花药台
Botania:livingrock:0, 活石
Botania:livingrock:1, 活石砖
Botania:livingrock:2, 苔活石砖
Botania:livingrock:3, 裂活石砖
Botania:livingrock:4, 框边活石砖
Botania:livingwood:0, 活木
Botania:livingwood:1, 活木板
Botania:livingwood:2, 苔活木板
Botania:livingwood:3, 框边活木板
Botania:livingwood:4, 框纹活木板
Botania:livingwood:5, 微光活木
Botania:specialFlower, tile.specialFlower.name
Botania:spreader:0, 魔力发射器
Botania:spreader:1, 魔力发射器(红石)
Botania:spreader:2, 精灵魔力发射器
Botania:spreader:3, 盖亚魔力发射器
Botania:pool:0, 魔力池
Botania:pool:2, 稀释魔力池
Botania:pool:3, 神话魔力池
Botania:pool:1, 永恒魔力池
Botania:runeAltar, tile.runeAltar.name
Botania:unstableBlock:0, 白色不稳定立方
Botania:unstableBlock:1, 橙色不稳定立方
Botania:unstableBlock:2, 品红色不稳定立方
Botania:unstableBlock:3, 淡蓝色不稳定立方
Botania:unstableBlock:4, 黄色不稳定立方
Botania:unstableBlock:5, 黄绿色不稳定立方
Botania:unstableBlock:6, 粉色不稳定立方
Botania:unstableBlock:7, 灰色不稳定立方
Botania:unstableBlock:8, 淡灰色不稳定立方
Botania:unstableBlock:9, 青色不稳定立方
Botania:unstableBlock:10, 紫色不稳定立方
Botania:unstableBlock:11, 蓝色不稳定立方
Botania:unstableBlock:12, 棕色不稳定立方
Botania:unstableBlock:13, 绿色不稳定立方
Botania:unstableBlock:14, 红色不稳定立方
Botania:unstableBlock:15, 黑色不稳定立方
Botania:pylon:0, 魔法水晶
Botania:pylon:1, 自然水晶
Botania:pylon:2, 盖亚水晶
Botania:pistonRelay, tile.pistonRelay.name
Botania:distributor, 氧气分配器
Botania:manaBeacon:0, 白色不稳定信标
Botania:manaBeacon:1, 橙色不稳定信标
Botania:manaBeacon:2, 品红色不稳定信标
Botania:manaBeacon:3, 淡蓝色不稳定信标
Botania:manaBeacon:4, 黄色不稳定信标
Botania:manaBeacon:5, 黄绿色不稳定信标
Botania:manaBeacon:6, 粉色不稳定信标
Botania:manaBeacon:7, 灰色不稳定信标
Botania:manaBeacon:8, 淡灰色不稳定信标
Botania:manaBeacon:9, 青色不稳定信标
Botania:manaBeacon:10, 紫色不稳定信标
Botania:manaBeacon:11, 蓝色不稳定信标
Botania:manaBeacon:12, 棕色不稳定信标
Botania:manaBeacon:13, 绿色不稳定信标
Botania:manaBeacon:14, 红色不稳定信标
Botania:manaBeacon:15, 黑色不稳定信标
Botania:manaVoid, tile.manaVoid.name
Botania:manaDetector, tile.manaDetector.name
Botania:enchanter, 渗透附魔台
Botania:turntable, tile.turntable.name
Botania:tinyPlanetBlock, tile.tinyPlanetBlock.name
Botania:alchemyCatalyst, tile.alchemyCatalyst.name
Botania:openCrate:0, 花格箱
Botania:openCrate:1, 机巧箱
Botania:forestEye, tile.forestEye.name
Botania:storage:0, 魔力钢块
Botania:storage:1, 泰拉钢块
Botania:storage:2, 源质钢块
Botania:storage:3, 魔力钻石块
Botania:storage:4, 龙石块
Botania:forestDrum:0, 狂野之鼓
Botania:forestDrum:1, 收集之鼓
Botania:forestDrum:2, 林冠之鼓
Botania:shinyFlower:0, 白色荧光花
Botania:shinyFlower:1, 橙色荧光花
Botania:shinyFlower:2, 品红色荧光花
Botania:shinyFlower:3, 淡蓝色荧光花
Botania:shinyFlower:4, 黄色荧光花
Botania:shinyFlower:5, 黄绿色荧光花
Botania:shinyFlower:6, 粉色荧光花
Botania:shinyFlower:7, 灰色荧光花
Botania:shinyFlower:8, 淡灰色荧光花
Botania:shinyFlower:9, 青色荧光花
Botania:shinyFlower:10, 紫色荧光花
Botania:shinyFlower:11, 蓝色荧光花
Botania:shinyFlower:12, 棕色荧光花
Botania:shinyFlower:13, 绿色荧光花
Botania:shinyFlower:14, 红色荧光花
Botania:shinyFlower:15, 黑色荧光花
Botania:platform:0, 奥秘平台
Botania:platform:1, 幻影平台
Botania:platform:2, 不破平台
Botania:alfheimPortal, tile.alfheimPortal.name
Botania:dreamwood:0, 梦之木
Botania:dreamwood:1, 梦之木板
Botania:dreamwood:2, 苔梦之木板
Botania:dreamwood:3, 框边梦之木板
Botania:dreamwood:4, 框纹梦之木板
Botania:dreamwood:5, 微光梦之木
Botania:conjurationCatalyst, tile.conjurationCatalyst.name
Botania:bifrost, tile.bifrost.name
Botania:solidVine, tile.solidVine.name
Botania:buriedPetals:0, 埋藏白色花瓣
Botania:buriedPetals:1, 埋藏橙色花瓣
Botania:buriedPetals:2, 埋藏品红色花瓣
Botania:buriedPetals:3, 埋藏淡蓝色花瓣
Botania:buriedPetals:4, 埋藏黄色花瓣
Botania:buriedPetals:5, 埋藏黄绿色花瓣
Botania:buriedPetals:6, 埋藏粉色花瓣
Botania:buriedPetals:7, 埋藏灰色花瓣
Botania:buriedPetals:8, 埋藏淡灰色花瓣
Botania:buriedPetals:9, 埋藏青色花瓣
Botania:buriedPetals:10, 埋藏紫色花瓣
Botania:buriedPetals:11, 埋藏蓝色花瓣
Botania:buriedPetals:12, 埋藏棕色花瓣
Botania:buriedPetals:13, 埋藏绿色花瓣
Botania:buriedPetals:14, 埋藏红色花瓣
Botania:buriedPetals:15, 埋藏黑色花瓣
Botania:prismarine:0, 海晶石
Botania:prismarine:1, 海晶石砖
Botania:prismarine:2, 深色海晶石
Botania:seaLamp, tile.seaLamp.name
Botania:miniIsland:0, 白色浮空花
Botania:miniIsland:1, 橙色浮空花
Botania:miniIsland:2, 品红色浮空花
Botania:miniIsland:3, 淡蓝色浮空花
Botania:miniIsland:4, 黄色浮空花
Botania:miniIsland:5, 黄绿色浮空花
Botania:miniIsland:6, 粉色浮空花
Botania:miniIsland:7, 灰色浮空花
Botania:miniIsland:8, 淡灰色浮空花
Botania:miniIsland:9, 青色浮空花
Botania:miniIsland:10, 紫色浮空花
Botania:miniIsland:11, 蓝色浮空花
Botania:miniIsland:12, 棕色浮空花
Botania:miniIsland:13, 绿色浮空花
Botania:miniIsland:14, 红色浮空花
Botania:miniIsland:15, 黑色浮空花
Botania:tinyPotato, tile.tinyPotato.name
Botania:spawnerClaw, tile.spawnerClaw.name
Botania:reedBlock, tile.reedBlock.name
Botania:thatch, tile.thatch.name
Botania:customBrick:0, 炼狱砖块
Botania:customBrick:1, 灵魂砖块
Botania:customBrick:2, 霜冻砖块
Botania:customBrick:3, 瓦块
Botania:customBrick:4, 阿兹勒赫瓷砖
Botania:customBrick:5, 阿兹勒赫瓷砖
Botania:customBrick:6, 阿兹勒赫瓷砖
Botania:customBrick:7, 阿兹勒赫瓷砖
Botania:customBrick:8, 阿兹勒赫瓷砖
Botania:customBrick:9, 阿兹勒赫瓷砖
Botania:customBrick:10, 阿兹勒赫瓷砖
Botania:customBrick:11, 阿兹勒赫瓷砖
Botania:customBrick:12, 阿兹勒赫瓷砖
Botania:customBrick:13, 阿兹勒赫瓷砖
Botania:customBrick:14, 阿兹勒赫瓷砖
Botania:customBrick:15, 阿兹勒赫瓷砖
Botania:enderEyeBlock, tile.enderEyeBlock.name
Botania:starfield, tile.starfield.name
Botania:rfGenerator, tile.rfGenerator.name
Botania:elfGlass, tile.elfGlass.name
Botania:brewery, tile.brewery.name
Botania:manaGlass, tile.manaGlass.name
Botania:terraPlate, tile.terraPlate.name
Botania:redStringContainer, tile.redStringContainer.name
Botania:redStringDispenser, tile.redStringDispenser.name
Botania:redStringFertilizer, tile.redStringFertilizer.name
Botania:redStringComparator, tile.redStringComparator.name
Botania:redStringRelay, tile.redStringRelay.name
Botania:floatingSpecialFlower, tile.floatingSpecialFlower.name
Botania:manaFlame, tile.manaFlame.name
Botania:prism, tile.prism.name
Botania:dirtPath, tile.dirtPath.name
Botania:enchantedSoil, tile.enchantedSoil.name
Botania:petalBlock:0, 白色花瓣块
Botania:petalBlock:1, 橙色花瓣块
Botania:petalBlock:2, 品红色花瓣块
Botania:petalBlock:3, 淡蓝色花瓣块
Botania:petalBlock:4, 黄色花瓣块
Botania:petalBlock:5, 黄绿色花瓣块
Botania:petalBlock:6, 粉色花瓣块
Botania:petalBlock:7, 灰色花瓣块
Botania:petalBlock:8, 淡灰色花瓣块
Botania:petalBlock:9, 青色花瓣块
Botania:petalBlock:10, 紫色花瓣块
Botania:petalBlock:11, 蓝色花瓣块
Botania:petalBlock:12, 棕色花瓣块
Botania:petalBlock:13, 绿色花瓣块
Botania:petalBlock:14, 红色花瓣块
Botania:petalBlock:15, 黑色花瓣块
Botania:corporeaIndex, tile.corporeaIndex.name
Botania:corporeaFunnel, tile.corporeaFunnel.name
Botania:endStoneBrick:0, 末地石砖
Botania:endStoneBrick:1, 錾制末地石砖
Botania:endStoneBrick:2, 末影石砖
Botania:endStoneBrick:3, 竖纹末影石砖
Botania:mushroom:0, 白色微光蘑菇
Botania:mushroom:1, 橙色微光蘑菇
Botania:mushroom:2, 品红色微光蘑菇
Botania:mushroom:3, 淡蓝色微光蘑菇
Botania:mushroom:4, 黄色微光蘑菇
Botania:mushroom:5, 黄绿色微光蘑菇
Botania:mushroom:6, 粉色微光蘑菇
Botania:mushroom:7, 灰色微光蘑菇
Botania:mushroom:8, 淡灰色微光蘑菇
Botania:mushroom:9, 青色微光蘑菇
Botania:mushroom:10, 紫色微光蘑菇
Botania:mushroom:11, 蓝色微光蘑菇
Botania:mushroom:12, 棕色微光蘑菇
Botania:mushroom:13, 绿色微光蘑菇
Botania:mushroom:14, 红色微光蘑菇
Botania:mushroom:15, 黑色微光蘑菇
Botania:pump, tile.pump.name
Botania:doubleFlower1:0, 白色高神秘花
Botania:doubleFlower1:1, 橙色高神秘花
Botania:doubleFlower1:2, 品红色高神秘花
Botania:doubleFlower1:3, 淡蓝色高神秘花
Botania:doubleFlower1:4, 黄色高神秘花
Botania:doubleFlower1:5, 黄绿色高神秘花
Botania:doubleFlower1:6, 粉色高神秘花
Botania:doubleFlower1:7, 灰色高神秘花
Botania:doubleFlower2:0, 淡灰色高神秘花
Botania:doubleFlower2:1, 青色高神秘花
Botania:doubleFlower2:2, 紫色高神秘花
Botania:doubleFlower2:3, 蓝色高神秘花
Botania:doubleFlower2:4, 褐色高神秘花
Botania:doubleFlower2:5, 绿色高神秘花
Botania:doubleFlower2:6, 红色高神秘花
Botania:doubleFlower2:7, 黑色高神秘花
Botania:fakeAir, tile.fakeAir.name
Botania:blazeBlock, tile.blazeBlock.name
Botania:corporeaInterceptor, tile.corporeaInterceptor.name
Botania:corporeaCrystalCube, tile.corporeaCrystalCube.name
Botania:incensePlate, tile.incensePlate.name
Botania:hourglass, tile.hourglass.name
Botania:ghostRail, tile.ghostRail.name
Botania:sparkChanger, tile.sparkChanger.name
Botania:root, tile.root.name
Botania:felPumpkin, tile.felPumpkin.name
Botania:cocoon, tile.cocoon.name
Botania:lightRelay:0, 微光
Botania:lightRelay:1, 探测微光
Botania:lightLauncher, tile.lightLauncher.name
Botania:manaBomb, tile.manaBomb.name
Botania:cacophoniumBlock, tile.cacophoniumBlock.name
Botania:bellows, tile.bellows.name
Botania:bifrostPerm, tile.bifrostPerm.name
Botania:cellBlock, tile.cellBlock.name
Botania:redStringInterceptor, tile.redStringInterceptor.name
Botania:gaiaHeadBlock, tile.gaiaHeadBlock.name
Botania:corporeaRetainer, tile.corporeaRetainer.name
Botania:teruTeruBozu, tile.teruTeruBozu.name
Botania:shimmerrock, tile.shimmerrock.name
Botania:shimmerwoodPlanks, tile.shimmerwoodPlanks.name
Botania:avatar, tile.avatar.name
Botania:altGrass:0, 干草地
Botania:altGrass:1, 黄金草地
